City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nzerekore,7.7562,-8.8179,27.36,70,74,1.37,GN,1686501277
83,les sables-d'olonne,46.6667,-1.8333,26.44,63,87,4.94,FR,1686500995
84,kasongo-lunda,-6.4667,16.8167,25.56,71,96,0.49,CD,1686501277
85,kulhudhuffushi,6.6221,73.07,28.72,80,96,7.12,MV,1686501277
86,monopoli,40.9559,17.2896,24.57,74,31,3.33,IT,1686501278
87,anar darah,32.7587,61.654,30.82,16,0,9.73,AF,1686501278
88,peace river,56.2501,-117.286,20.17,86,75,1.03,CA,1686501067
89,montepuez,-13.1256,38.9997,21.08,40,21,2.16,MZ,1686501278
90,tortoli,39.9256,9.6572,24.9,94,20,1.54,IT,1686501278
91,minas de marcona,-15.2119,-75.1103,17.1,61,55,7.42,PE,1686501278
92,west island,-12.1568,96.8225,26.99,74,75,11.15,CC,1686501278
93,tura,25.5198,90.2201,24.0,94,16,2.69,IN,1686501280
94,thunder bay,48.4001,-89.3168,15.99,41,40,5.14,CA,1686500996
95,olonkinbyen,70.9221,-8.7187,1.95,94,100,8.26,SJ,1686501281
96,turbat,26.0023,63.044,31.73,60,32,4.64,PK,1686500943
97,papao,-17.75,-149.55,21.82,74,56,8.98,PF,1686501281
98,udachny,66.4167,112.4,0.25,100,100,7.7,RU,1686501281
99,paris,48.8534,2.3488,27.32,70,40,5.66,FR,1686500608
100,george town,5.4112,100.3354,29.97,80,20,2.06,MY,1686501013
101,ribeira grande,38.5167,-28.7,21.22,73,40,4.63,PT,1686501281
102,flying fish cove,-10.4217,105.6791,24.82,94,75,4.63,CX,1686501281
103,kimbe,-5.5502,150.1429,24.55,93,99,0.92,PG,1686501281
104,palmer,42.1584,-72.3287,27.57,46,20,1.54,US,1686501281
105,kondoa,-4.9,35.7833,19.04,42,61,1.57,TZ,1686501282
106,mount isa,-20.7333,139.5,14.87,55,2,2.57,AU,1686501282
107,vanimo,-2.6741,141.3028,25.71,90,75,2.65,PG,1686501282
108,zachary,30.6485,-91.1565,32.08,62,40,4.12,US,1686501282
109,marechal deodoro,-9.7103,-35.895,28.67,69,14,4.03,BR,1686501282
110,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,71,0,4.0,RU,1686501039
111,noumea,-22.2763,166.4572,20.0,99,10,3.4,NC,1686500812
112,tarko-sale,64.9225,77.785,10.87,85,100,3.04,RU,1686501282
113,aasiaat,68.7098,-52.8699,1.21,95,100,4.7,GL,1686501282
114,saipan,15.1355,145.701,27.39,100,20,4.63,MP,1686501283
115,howrah,22.5892,88.3103,26.0,89,75,4.12,IN,1686501283
116,brookings,44.3114,-96.7984,17.27,57,0,5.66,US,1686501283
117,linfen,36.0889,111.5189,23.1,47,2,2.69,CN,1686501283
118,afaahiti,-17.75,-149.2833,20.93,74,76,8.67,PF,1686501283
